,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
412,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,slow recovery,45,post day,Friday,2014-12-26
413,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,slow recovery,45,post day,Monday,2014-12-29
414,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,slow recovery,45,post day,Tuesday,2014-12-30
415,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,slow recovery,45,post day,Wednesday,2014-12-31
416,,,,,,,,,,,,,45,post day,Thursday,2015-01-01
417,0.9988,0.99714,1.00076,1.00163,0.99602,151520.0,0.99368,0.00712503019080598,0.00712503019080598,0.7125030190805903,Up,slow recovery,45,post day,Friday,2015-01-02
418,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,slow recovery,46,prior day,Monday,2014-12-22
419,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,slow recovery,46,prior day,Tuesday,2014-12-23
420,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,slow recovery,46,prior day,Wednesday,2014-12-24
421,,,,,,,,,,,,,46,prior day,Thursday,2014-12-25
422,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,slow recovery,46,outlier day,Friday,2014-12-26
423,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,slow recovery,46,post day,Monday,2014-12-29
424,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,slow recovery,46,post day,Tuesday,2014-12-30
425,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,slow recovery,46,post day,Wednesday,2014-12-31
426,,,,,,,,,,,,,46,post day,Thursday,2015-01-01
427,0.9988,0.99714,1.00076,1.00163,0.99602,151520.0,0.99368,0.00712503019080598,0.00712503019080598,0.7125030190805903,Up,slow recovery,46,post day,Friday,2015-01-02
428,0.981,0.97983,0.98328,0.98451,0.97834,201763.0,0.97983,0.0035210189522672957,0.0035210189522672957,0.35210189522671964,Up,slow recovery,47,prior day,Friday,2014-12-19
429,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,slow recovery,47,prior day,Monday,2014-12-22
430,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,slow recovery,47,prior day,Tuesday,2014-12-23
431,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,slow recovery,47,prior day,Wednesday,2014-12-24
432,,,,,,,,,,,,,47,prior day,Thursday,2014-12-25
433,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,slow recovery,47,prior day,Friday,2014-12-26
434,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,slow recovery,47,post day,Monday,2014-12-29
435,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,slow recovery,47,post day,Tuesday,2014-12-30
436,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,slow recovery,47,post day,Wednesday,2014-12-31
437,,,,,,,,,,,,,47,post day,Thursday,2015-01-01
438,0.981,0.97983,0.98328,0.98451,0.97834,201763.0,0.97983,0.0035210189522672957,0.0035210189522672957,0.35210189522671964,Up,slow recovery,48,prior day,Friday,2014-12-19
439,0.9821,0.98436,0.98429,0.98487,0.9804,132886.0,0.98436,-7.111219472552166e-05,7.111219472552166e-05,0.00711121947255533,Down,slow recovery,48,prior day,Monday,2014-12-22
440,0.9855,0.98429,0.98746,0.98855,0.98246,133816.0,0.98429,0.003220595556187715,0.003220595556187715,0.32205955561877,Up,slow recovery,48,prior day,Tuesday,2014-12-23
441,0.986,0.98747,0.98502,0.98806,0.98387,81065.0,0.98746,-0.002470986166528262,0.002470986166528262,0.24709861665282995,Down,slow recovery,48,prior day,Wednesday,2014-12-24
442,,,,,,,,,,,,,48,prior day,Thursday,2014-12-25
443,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,0.98502,0.00179691782907955,0.00179691782907955,0.17969178290795362,Up,slow recovery,48,prior day,Friday,2014-12-26
444,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,slow recovery,48,outlier day,Monday,2014-12-29
445,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,slow recovery,48,post day,Tuesday,2014-12-30
446,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,slow recovery,48,post day,Wednesday,2014-12-31
447,,,,,,,,,,,,,48,post day,Thursday,2015-01-01
448,0.9865,0.98363,0.98679,0.98831,0.98362,84365.0,,,,,Down,slow recovery,49,prior day,Friday,2014-12-26
449,0.987,0.98823,0.98969,0.99068,0.9842,135975.0,0.98824,0.0014672549178336752,0.0014672549178336752,0.14672549178336158,Up,slow recovery,49,prior day,Monday,2014-12-29
450,0.9889,0.98969,0.98856,0.99185,0.98667,145295.0,0.98969,-0.0011417716658751371,0.0011417716658751371,0.11417716658751464,Down,slow recovery,49,outlier day,Tuesday,2014-12-30
451,0.9907,0.98856,0.99368,0.9938,0.98787,90053.0,0.98856,0.005179250627174894,0.005179250627174894,0.5179250627174836,Up,slow recovery,49,post day,Wednesday,2014-12-31
452,,,,,,,,,,,,,49,post day,Thursday,2015-01-01
453,0.9988,0.99714,1.00076,1.00163,0.99602,151520.0,0.99368,0.00712503019080598,0.00712503019080598,0.7125030190805903,Up,slow recovery,49,post day,Friday,2015-01-02
454,1.0065,1.00573,1.00632,1.01074,1.00318,196521.0,1.00573,0.0005866385610453008,0.0005866385610453008,0.05866385610453495,Up,slow recovery,49,post day,Monday,2015-01-05
455,1.0077,1.00632,1.0115,1.01347,1.00403,197287.0,1.00632,0.0051474680022258945,0.0051474680022258945,0.5147468002225875,Up,slow recovery,49,post day,Tuesday,2015-01-06
456,1.0138,1.0115,1.01477,1.01746,1.00935,219122.0,1.0115,0.0032328225407809033,0.0032328225407809033,0.3232822540780944,Up,slow recovery,49,post day,Wednesday,2015-01-07
457,1.0181,1.01476,1.01837,1.02158,1.01357,175917.0,1.01477,0.0035476019196468635,0.0035476019196468635,0.3547601919646759,Up,slow recovery,49,post day,Thursday,2015-01-08
