,vw,o,c,h,l,n,prev_close,returns,outlier_id,day type,Date,Time
7010,0.9809,0.98102,0.98101,0.98168,0.9804,9678.0,0.98103,-2.0386736389212338e-05,42,outlier day,2014-12-22,09:00:00
7011,0.9814,0.98102,0.98126,0.98185,0.98094,6800.0,0.98101,0.0002548394002099596,42,outlier day,2014-12-22,10:00:00
7012,0.9813,0.98126,0.98152,0.98159,0.98099,7048.0,0.98126,0.00026496545258130054,42,outlier day,2014-12-22,11:00:00
7013,0.9813,0.98152,0.9817,0.9817,0.98068,7094.0,0.98152,0.00018338902926080876,42,outlier day,2014-12-22,12:00:00
7014,0.9817,0.9817,0.98155,0.98223,0.98109,9957.0,0.9817,-0.0001527961699093241,42,outlier day,2014-12-22,13:00:00
7015,0.9817,0.98154,0.98166,0.98202,0.98132,9500.0,0.98155,0.00011206764810752736,42,outlier day,2014-12-22,14:00:00
7016,0.9816,0.98166,0.98102,0.98224,0.98098,11791.0,0.98166,-0.0006519568893506651,42,outlier day,2014-12-22,15:00:00
7017,0.9812,0.98102,0.98196,0.98201,0.98061,7158.0,0.98102,0.0009581863774439378,42,outlier day,2014-12-22,16:00:00
7018,0.9821,0.98195,0.98199,0.98274,0.9815,5597.0,0.98196,3.0551142612707735e-05,42,outlier day,2014-12-22,17:00:00
7019,0.9822,0.98199,0.98289,0.98293,0.98173,4096.0,0.98199,0.0009165062780680168,42,outlier day,2014-12-22,18:00:00
7020,0.9834,0.98289,0.98461,0.98478,0.98281,4379.0,0.98289,0.0017499414990486664,42,outlier day,2014-12-22,19:00:00
7021,0.9844,0.98463,0.98414,0.98487,0.98379,6458.0,0.98461,-0.0004773463604878789,42,outlier day,2014-12-22,20:00:00
7022,0.984,0.98413,0.98349,0.9843,0.98329,2707.0,0.98414,-0.0006604751356514718,42,outlier day,2014-12-22,21:00:00
7023,0.9838,0.98349,0.9839,0.98403,0.98321,1584.0,0.98349,0.00041688273393732675,42,outlier day,2014-12-22,22:00:00
7024,0.9842,0.98391,0.98429,0.98456,0.98389,2936.0,0.9839,0.0003963817461124113,42,outlier day,2014-12-22,23:00:00
7025,0.9841,0.98429,0.98392,0.98439,0.98388,1936.0,0.98429,-0.0003759054750124267,42,post day,2014-12-23,00:00:00
7026,0.9837,0.98391,0.98366,0.98392,0.98341,2706.0,0.98392,-0.0002642491259452374,42,post day,2014-12-23,01:00:00
7027,0.9836,0.98365,0.98369,0.98388,0.98343,1697.0,0.98366,3.04983429233419e-05,42,post day,2014-12-23,02:00:00
7028,0.9835,0.98369,0.98346,0.98385,0.98318,1501.0,0.98369,-0.00023381349815485822,42,post day,2014-12-23,03:00:00
7029,0.9834,0.98347,0.98338,0.98376,0.98322,1979.0,0.98346,-8.134545380591888e-05,42,post day,2014-12-23,04:00:00
7030,0.9837,0.98339,0.98385,0.98402,0.9833,2062.0,0.98338,0.00047794341963429236,42,post day,2014-12-23,05:00:00
7031,0.9836,0.98385,0.98343,0.98398,0.98324,4494.0,0.98385,-0.0004268943436499222,42,post day,2014-12-23,06:00:00
7032,0.9835,0.98342,0.98432,0.9845,0.98293,5223.0,0.98343,0.0009049957800758024,42,post day,2014-12-23,07:00:00
7033,0.9833,0.98431,0.98333,0.98439,0.98246,8470.0,0.98432,-0.0010057704811442776,42,post day,2014-12-23,08:00:00
7034,0.9831,0.98333,0.98303,0.98368,0.98273,7784.0,0.98333,-0.00030508577995187573,42,post day,2014-12-23,09:00:00
7035,0.9833,0.98303,0.98318,0.98362,0.98287,6074.0,0.98303,0.00015258944284517715,42,post day,2014-12-23,10:00:00
7036,0.9837,0.98317,0.98358,0.98417,0.98316,8916.0,0.98318,0.0004068431009580707,42,post day,2014-12-23,11:00:00
7037,0.9845,0.98358,0.98492,0.98516,0.98339,8265.0,0.98358,0.001362370117326509,42,post day,2014-12-23,12:00:00
7038,0.9861,0.98492,0.98685,0.98716,0.98489,12413.0,0.98492,0.0019595500142143393,42,post day,2014-12-23,13:00:00
7039,0.9872,0.98685,0.98803,0.98823,0.98664,13210.0,0.98685,0.0011957237675431513,42,post day,2014-12-23,14:00:00
7040,0.9871,0.98815,0.98724,0.98855,0.98608,11944.0,0.98803,-0.0007995708632328547,42,post day,2014-12-23,15:00:00
7041,0.9875,0.98724,0.98717,0.98794,0.98693,9243.0,0.98724,-7.090474454034935e-05,42,post day,2014-12-23,16:00:00
7042,0.9871,0.98717,0.9876,0.98769,0.9867,5518.0,0.98717,0.00043558860176063036,42,post day,2014-12-23,17:00:00
7043,0.988,0.9876,0.98779,0.98848,0.98752,5562.0,0.9876,0.00019238558120687773,42,post day,2014-12-23,18:00:00
7044,0.9879,0.98779,0.98737,0.98817,0.98737,4277.0,0.98779,-0.00042519158930539485,42,post day,2014-12-23,19:00:00
7045,0.9875,0.9874,0.98775,0.98786,0.98722,2994.0,0.98737,0.00038486079180048715,42,post day,2014-12-23,20:00:00
7046,0.9879,0.98775,0.98762,0.9883,0.98762,2546.0,0.98775,-0.00013161225006323816,42,post day,2014-12-23,21:00:00
7047,0.9877,0.98762,0.98776,0.98781,0.98745,2449.0,0.98762,0.00014175492598359485,42,post day,2014-12-23,22:00:00
7048,0.9876,0.98777,0.98746,0.98781,0.98723,2553.0,0.98776,-0.00030371750222722824,42,post day,2014-12-23,23:00:00
7049,0.9872,0.98747,0.98676,0.98749,0.98666,2142.0,0.98746,-0.0007088894740040447,42,post day,2014-12-24,00:00:00
7050,0.9869,0.98676,0.98724,0.98727,0.98664,1837.0,0.98676,0.00048644047184729413,42,post day,2014-12-24,01:00:00
7051,0.9877,0.98724,0.98805,0.98806,0.98721,2241.0,0.98724,0.0008204691868238497,42,post day,2014-12-24,02:00:00
7052,0.9876,0.98805,0.98742,0.98805,0.9873,1357.0,0.98805,-0.0006376195536663322,42,post day,2014-12-24,03:00:00
7053,0.9874,0.98742,0.98758,0.9876,0.98688,1636.0,0.98742,0.00016203844362079863,42,post day,2014-12-24,04:00:00
7054,0.9872,0.98758,0.98715,0.98776,0.98703,1671.0,0.98758,-0.00043540776443431567,42,post day,2014-12-24,05:00:00
7055,0.9874,0.98715,0.98744,0.98765,0.98708,2637.0,0.98715,0.00029377500886391375,42,post day,2014-12-24,06:00:00
7056,0.9866,0.98744,0.98635,0.98744,0.98588,4514.0,0.98744,-0.001103864538604913,42,post day,2014-12-24,07:00:00
7057,0.9861,0.98634,0.9855,0.98662,0.98545,5709.0,0.98635,-0.0008617630658487418,42,post day,2014-12-24,08:00:00
7058,0.9853,0.9855,0.98514,0.98578,0.98488,6904.0,0.9855,-0.00036529680365299537,42,post day,2014-12-24,09:00:00
7059,0.9854,0.98514,0.9858,0.98592,0.98492,5679.0,0.98514,0.000669955539314203,42,post day,2014-12-24,10:00:00
7060,0.986,0.98581,0.9856,0.98633,0.98552,6311.0,0.9858,-0.00020288090890644954,42,post day,2014-12-24,11:00:00
7061,,,,,,,,,42,post day,2014-12-24,12:00:00
7062,,,,,,,,,42,post day,2014-12-24,13:00:00
7063,,,,,,,,,42,post day,2014-12-24,14:00:00
7064,,,,,,,,,42,post day,2014-12-24,15:00:00
7065,,,,,,,,,42,post day,2014-12-24,16:00:00
7066,,,,,,,,,42,post day,2014-12-24,17:00:00
7067,,,,,,,,,42,post day,2014-12-24,18:00:00
7068,,,,,,,,,42,post day,2014-12-24,19:00:00
7069,,,,,,,,,42,post day,2014-12-24,20:00:00
7070,,,,,,,,,42,post day,2014-12-24,21:00:00
7071,,,,,,,,,42,post day,2014-12-24,22:00:00
7072,,,,,,,,,42,post day,2014-12-24,23:00:00
7073,,,,,,,,,42,post day,2014-12-25,00:00:00
7074,,,,,,,,,42,post day,2014-12-25,01:00:00
7075,,,,,,,,,42,post day,2014-12-25,02:00:00
7076,,,,,,,,,42,post day,2014-12-25,03:00:00
7077,,,,,,,,,42,post day,2014-12-25,04:00:00
7078,,,,,,,,,42,post day,2014-12-25,05:00:00
7079,,,,,,,,,42,post day,2014-12-25,06:00:00
7080,,,,,,,,,42,post day,2014-12-25,07:00:00
7081,,,,,,,,,42,post day,2014-12-25,08:00:00
7082,,,,,,,,,42,post day,2014-12-25,09:00:00
7083,,,,,,,,,42,post day,2014-12-25,10:00:00
7084,,,,,,,,,42,post day,2014-12-25,11:00:00
7085,,,,,,,,,42,post day,2014-12-25,12:00:00
7086,,,,,,,,,42,post day,2014-12-25,13:00:00
7087,,,,,,,,,42,post day,2014-12-25,14:00:00
7088,,,,,,,,,42,post day,2014-12-25,15:00:00
7089,,,,,,,,,42,post day,2014-12-25,16:00:00
7090,,,,,,,,,42,post day,2014-12-25,17:00:00
7091,,,,,,,,,42,post day,2014-12-25,18:00:00
7092,,,,,,,,,42,post day,2014-12-25,19:00:00
7093,,,,,,,,,42,post day,2014-12-25,20:00:00
7094,,,,,,,,,42,post day,2014-12-25,21:00:00
7095,,,,,,,,,42,post day,2014-12-25,22:00:00
7096,,,,,,,,,42,post day,2014-12-25,23:00:00
7097,,,,,,,,,42,post day,2014-12-26,00:00:00
7098,,,,,,,,,43,prior day,2014-12-20,00:00:00
7099,,,,,,,,,43,prior day,2014-12-20,01:00:00
7100,,,,,,,,,43,prior day,2014-12-20,02:00:00
7101,,,,,,,,,43,prior day,2014-12-20,03:00:00
7102,,,,,,,,,43,prior day,2014-12-20,04:00:00
7103,,,,,,,,,43,prior day,2014-12-20,05:00:00
7104,,,,,,,,,43,prior day,2014-12-20,06:00:00
7105,,,,,,,,,43,prior day,2014-12-20,07:00:00
7106,,,,,,,,,43,prior day,2014-12-20,08:00:00
7107,,,,,,,,,43,prior day,2014-12-20,09:00:00
7108,,,,,,,,,43,prior day,2014-12-20,10:00:00
7109,,,,,,,,,43,prior day,2014-12-20,11:00:00
7110,,,,,,,,,43,prior day,2014-12-20,12:00:00
7111,,,,,,,,,43,prior day,2014-12-20,13:00:00
7112,,,,,,,,,43,prior day,2014-12-20,14:00:00
7113,,,,,,,,,43,prior day,2014-12-20,15:00:00
7114,,,,,,,,,43,prior day,2014-12-20,16:00:00
7115,,,,,,,,,43,prior day,2014-12-20,17:00:00
7116,,,,,,,,,43,prior day,2014-12-20,18:00:00
7117,,,,,,,,,43,prior day,2014-12-20,19:00:00
7118,,,,,,,,,43,prior day,2014-12-20,20:00:00
7119,,,,,,,,,43,prior day,2014-12-20,21:00:00
7120,,,,,,,,,43,prior day,2014-12-20,22:00:00
7121,,,,,,,,,43,prior day,2014-12-20,23:00:00
7122,,,,,,,,,43,prior day,2014-12-21,00:00:00
7123,,,,,,,,,43,prior day,2014-12-21,01:00:00
7124,,,,,,,,,43,prior day,2014-12-21,02:00:00
7125,,,,,,,,,43,prior day,2014-12-21,03:00:00
7126,,,,,,,,,43,prior day,2014-12-21,04:00:00
7127,,,,,,,,,43,prior day,2014-12-21,05:00:00
7128,,,,,,,,,43,prior day,2014-12-21,06:00:00
7129,,,,,,,,,43,prior day,2014-12-21,07:00:00
7130,,,,,,,,,43,prior day,2014-12-21,08:00:00
7131,,,,,,,,,43,prior day,2014-12-21,09:00:00
7132,,,,,,,,,43,prior day,2014-12-21,10:00:00
7133,,,,,,,,,43,prior day,2014-12-21,11:00:00
7134,,,,,,,,,43,prior day,2014-12-21,12:00:00
7135,,,,,,,,,43,prior day,2014-12-21,13:00:00
7136,,,,,,,,,43,prior day,2014-12-21,14:00:00
7137,,,,,,,,,43,prior day,2014-12-21,15:00:00
7138,,,,,,,,,43,prior day,2014-12-21,16:00:00
7139,,,,,,,,,43,prior day,2014-12-21,17:00:00
7140,,,,,,,,,43,prior day,2014-12-21,18:00:00
7141,,,,,,,,,43,prior day,2014-12-21,19:00:00
7142,,,,,,,,,43,prior day,2014-12-21,20:00:00
7143,,,,,,,,,43,prior day,2014-12-21,21:00:00
7144,0.9841,0.98398,0.98421,0.98444,0.98375,842.0,,,43,prior day,2014-12-21,22:00:00
7145,0.9843,0.98422,0.98436,0.98448,0.984,2146.0,0.98421,0.00015240649861308407,43,prior day,2014-12-21,23:00:00
7146,0.984,0.98436,0.98403,0.98439,0.98364,3095.0,0.98436,-0.00033524320370601456,43,prior day,2014-12-22,00:00:00
7147,0.9835,0.98402,0.98296,0.98403,0.98277,3166.0,0.98403,-0.0010873652226050176,43,prior day,2014-12-22,01:00:00
7148,0.9828,0.98295,0.98248,0.98315,0.98237,1864.0,0.98296,-0.000488320989663796,43,prior day,2014-12-22,02:00:00
7149,0.9822,0.98249,0.98229,0.98262,0.98199,2347.0,0.98248,-0.00019338816057326712,43,prior day,2014-12-22,03:00:00
7150,0.9826,0.9823,0.98273,0.98283,0.98224,2596.0,0.98229,0.0004479328915086135,43,prior day,2014-12-22,04:00:00
7151,0.983,0.98273,0.9827,0.98339,0.98268,2273.0,0.98273,-3.05272048273427e-05,43,prior day,2014-12-22,05:00:00
7152,0.9822,0.98268,0.98205,0.98271,0.98189,3114.0,0.9827,-0.0006614429632645155,43,prior day,2014-12-22,06:00:00
7153,0.9818,0.98204,0.98112,0.98231,0.98111,6157.0,0.98205,-0.0009469986253245623,43,prior day,2014-12-22,07:00:00
7154,0.9817,0.98113,0.98103,0.98253,0.98095,11491.0,0.98112,-9.173189823878272e-05,43,prior day,2014-12-22,08:00:00
7155,0.9809,0.98102,0.98101,0.98168,0.9804,9678.0,0.98103,-2.0386736389212338e-05,43,prior day,2014-12-22,09:00:00
7156,0.9814,0.98102,0.98126,0.98185,0.98094,6800.0,0.98101,0.0002548394002099596,43,prior day,2014-12-22,10:00:00
7157,0.9813,0.98126,0.98152,0.98159,0.98099,7048.0,0.98126,0.00026496545258130054,43,prior day,2014-12-22,11:00:00
7158,0.9813,0.98152,0.9817,0.9817,0.98068,7094.0,0.98152,0.00018338902926080876,43,prior day,2014-12-22,12:00:00
7159,0.9817,0.9817,0.98155,0.98223,0.98109,9957.0,0.9817,-0.0001527961699093241,43,prior day,2014-12-22,13:00:00
7160,0.9817,0.98154,0.98166,0.98202,0.98132,9500.0,0.98155,0.00011206764810752736,43,prior day,2014-12-22,14:00:00
7161,0.9816,0.98166,0.98102,0.98224,0.98098,11791.0,0.98166,-0.0006519568893506651,43,prior day,2014-12-22,15:00:00
7162,0.9812,0.98102,0.98196,0.98201,0.98061,7158.0,0.98102,0.0009581863774439378,43,prior day,2014-12-22,16:00:00
7163,0.9821,0.98195,0.98199,0.98274,0.9815,5597.0,0.98196,3.0551142612707735e-05,43,prior day,2014-12-22,17:00:00
7164,0.9822,0.98199,0.98289,0.98293,0.98173,4096.0,0.98199,0.0009165062780680168,43,prior day,2014-12-22,18:00:00
7165,0.9834,0.98289,0.98461,0.98478,0.98281,4379.0,0.98289,0.0017499414990486664,43,prior day,2014-12-22,19:00:00
7166,0.9844,0.98463,0.98414,0.98487,0.98379,6458.0,0.98461,-0.0004773463604878789,43,prior day,2014-12-22,20:00:00
7167,0.984,0.98413,0.98349,0.9843,0.98329,2707.0,0.98414,-0.0006604751356514718,43,prior day,2014-12-22,21:00:00
7168,0.9838,0.98349,0.9839,0.98403,0.98321,1584.0,0.98349,0.00041688273393732675,43,prior day,2014-12-22,22:00:00
7169,0.9842,0.98391,0.98429,0.98456,0.98389,2936.0,0.9839,0.0003963817461124113,43,prior day,2014-12-22,23:00:00
7170,0.9841,0.98429,0.98392,0.98439,0.98388,1936.0,0.98429,-0.0003759054750124267,43,outlier day,2014-12-23,00:00:00
