,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,source,outlier
117,88915,0.9353,0.93293,0.93492,0.9377,0.9327,88915,2023-11-07,0.9327,0.0023801865551624315,0.0023801865551624315,historical,0
118,87965,0.9355,0.93491,0.93357,0.93813,0.9329,87965,2023-11-08,0.93492,-0.0014439738159414306,0.0014439738159414306,historical,0
119,91541,0.9349,0.9334,0.93743,0.93807,0.9321,91541,2023-11-09,0.93357,0.004134665852587352,0.004134665852587352,historical,0
120,82777,0.9367,0.93742,0.9332,0.93839,0.9332,82777,2023-11-10,0.93743,-0.004512336921156733,0.004512336921156733,historical,0
121,1673,0.9356,0.93572,0.93535,0.93598,0.93534,1673,2023-11-12,0.9332,0.0023039005572224446,0.0023039005572224446,historical,0
122,76201,0.9356,0.93537,0.93442,0.9376,0.933794,76201,2023-11-13,0.93535,-0.0009942802159619247,0.0009942802159619247,historical,0
123,90791,0.9272,0.93437,0.91925,0.93517,0.918274,90791,2023-11-14,0.93442,-0.016234669634639688,0.016234669634639688,historical,1
124,91104,0.9208,0.91926,0.9211,0.92316,0.91848,91104,2023-11-15,0.91925,0.0020125101985314312,0.0020125101985314312,historical,0
125,88191,0.9212,0.92127,0.9212,0.92331,0.9176,88191,2023-11-16,0.9211,0.0001085658451850928,0.0001085658451850928,historical,0
126,85168,0.9201,0.92134,0.9159,0.92379,0.9157,85168,2023-11-17,0.9212,-0.005753365175857546,0.005753365175857546,historical,0
127,1547,0.9166,0.91614,0.91691,0.91693,0.9158,1547,2023-11-19,0.9159,0.0011027404738508083,0.0011027404738508083,historical,0
128,85493,0.9149,0.91693,0.91363,0.9176,0.9128,85493,2023-11-20,0.91691,-0.0035772322256273238,0.0035772322256273238,historical,0
129,89564,0.9139,0.91364,0.9159,0.91738,0.9117,89564,2023-11-21,0.91363,0.002484594420060631,0.002484594420060631,historical,0
130,89669,0.918,0.91594,0.9182,0.92141,0.9153,89669,2023-11-22,0.9159,0.0025111911780761748,0.0025111911780761748,historical,0
131,58267,0.9168,0.91841,0.9169,0.91851,0.914578,58267,2023-11-23,0.9182,-0.0014158135482465342,0.0014158135482465342,historical,0
132,66197,0.9157,0.91705,0.9132,0.91782,0.9102,66197,2023-11-24,0.9169,-0.00403533645981027,0.00403533645981027,historical,0
133,1699,0.9138,0.9142,0.91404,0.91431,0.91309,1699,2023-11-26,0.9132,0.0009198423127463336,0.0009198423127463336,historical,0
