,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return
678,1480,0.923,0.92304,0.92316,0.92323,0.9227,1480,2024-04-08 04:00:00,0.9229,0.0002817206631270202,0.0002817206631270202
679,1894,0.9229,0.9231,0.92294,0.92315,0.9226,1894,2024-04-08 05:00:00,0.92316,-0.0002383118852636574,0.0002383118852636574
680,2969,0.923,0.92293,0.9229,0.92335,0.9225,2969,2024-04-08 06:00:00,0.92294,-4.3339762064629316e-05,4.3339762064629316e-05
681,3738,0.923,0.92301,0.92315,0.92345,0.9226,3738,2024-04-08 07:00:00,0.9229,0.00027088525300679645,0.00027088525300679645
682,3749,0.9234,0.92316,0.92391,0.92401,0.9227,3749,2024-04-08 08:00:00,0.92315,0.000823268157937478,0.000823268157937478
683,3373,0.9236,0.92392,0.92352,0.92409,0.9225,3373,2024-04-08 09:00:00,0.92391,-0.0004221190375685959,0.0004221190375685959
684,3469,0.9232,0.92355,0.92313,0.924,0.9225,3469,2024-04-08 10:00:00,0.92352,-0.0004222972972972989,0.0004222972972972989
685,2825,0.9235,0.9231,0.92386,0.92391,0.9228,2825,2024-04-08 11:00:00,0.92313,0.0007907878630312181,0.0007907878630312181
686,3752,0.9234,0.92386,0.92299,0.92405,0.9226,3752,2024-04-08 12:00:00,0.92386,-0.0009417011235468983,0.0009417011235468983
687,4675,0.9222,0.92297,0.92151,0.92297,0.9211,4675,2024-04-08 13:00:00,0.92299,-0.001603484328107483,0.001603484328107483
688,4845,0.9216,0.92151,0.92138,0.92219,0.921,4845,2024-04-08 14:00:00,0.92151,-0.00014107280441891514,0.00014107280441891514
689,3768,0.9213,0.92135,0.9214,0.9217,0.9206,3768,2024-04-08 15:00:00,0.92138,2.1706570578935945e-05,2.1706570578935945e-05
690,2942,0.9217,0.9212,0.92163,0.92192,0.9211,2942,2024-04-08 16:00:00,0.9214,0.0002496201432602045,0.0002496201432602045
691,2660,0.9211,0.92164,0.9208,0.9217,0.9206,2660,2024-04-08 17:00:00,0.92163,-0.0009005783231882615,0.0009005783231882615
692,2356,0.9209,0.92099,0.92101,0.92117,0.9204,2356,2024-04-08 18:00:00,0.9208,0.0002280625543006554,0.0002280625543006554
693,2215,0.921,0.92101,0.92106,0.92112,0.9206,2215,2024-04-08 19:00:00,0.92101,5.4288227055074855e-05,5.4288227055074855e-05
694,1758,0.9209,0.92106,0.9207,0.9211,0.9206,1758,2024-04-08 20:00:00,0.92106,-0.0003908540160250439,0.0003908540160250439
695,2330,0.9208,0.9207,0.92076,0.921,0.92028,2330,2024-04-08 21:00:00,0.9207,6.516780710335615e-05,6.516780710335615e-05
696,794,0.9207,0.9208,0.9206,0.9208,0.9205,794,2024-04-08 22:00:00,0.92076,-0.0001737694947652472,0.0001737694947652472
697,1220,0.9206,0.92072,0.9206,0.92073,0.9203,1220,2024-04-08 23:00:00,0.9206,0.0,0.0
698,1610,0.9207,0.9204,0.92089,0.92098,0.9204,1610,2024-04-09 00:00:00,0.9206,0.0003150119487291033,0.0003150119487291033
699,2095,0.9208,0.9209,0.92081,0.92104,0.9204,2095,2024-04-09 01:00:00,0.92089,-8.687248205536925e-05,8.687248205536925e-05
700,1642,0.9209,0.92082,0.92104,0.92114,0.9204,1642,2024-04-09 02:00:00,0.92081,0.00024978008492517725,0.00024978008492517725
701,1489,0.9211,0.9209,0.9209,0.92129,0.9207,1489,2024-04-09 03:00:00,0.92104,-0.0001520020845999283,0.0001520020845999283
702,1199,0.921,0.9211,0.921,0.92117,0.9206,1199,2024-04-09 04:00:00,0.9209,0.00010858942339014983,0.00010858942339014983
703,1364,0.921,0.9209,0.92096,0.92112,0.9207,1364,2024-04-09 05:00:00,0.921,-4.3431053203083606e-05,4.3431053203083606e-05
704,2467,0.921,0.92096,0.92145,0.92153,0.9203,2467,2024-04-09 06:00:00,0.92096,0.0005320535093815045,0.0005320535093815045
705,3384,0.9211,0.92143,0.92134,0.92152,0.9206,3384,2024-04-09 07:00:00,0.92145,-0.0001193770687502778,0.0001193770687502778
706,2905,0.9212,0.92131,0.92099,0.92168,0.9206,2905,2024-04-09 08:00:00,0.92134,-0.00037988147697926115,0.00037988147697926115
707,3263,0.9206,0.921,0.92038,0.92107,0.92,3263,2024-04-09 09:00:00,0.92099,-0.0006623307527769025,0.0006623307527769025
708,2750,0.9201,0.92037,0.92004,0.92037,0.9196,2750,2024-04-09 10:00:00,0.92038,-0.0003694126339120874,0.0003694126339120874
709,3150,0.9203,0.9199,0.92069,0.92084,0.9195,3150,2024-04-09 11:00:00,0.92004,0.0007064910221295155,0.0007064910221295155
710,4267,0.9198,0.92068,0.91906,0.92074,0.9185,4267,2024-04-09 12:00:00,0.92069,-0.0017704113219433471,0.0017704113219433471
711,4608,0.919,0.91907,0.91919,0.91944,0.9184,4608,2024-04-09 13:00:00,0.91906,0.0001414488716731916,0.0001414488716731916
712,4903,0.9201,0.9192,0.92101,0.92135,0.9187,4903,2024-04-09 14:00:00,0.91919,0.0019800041340746134,0.0019800041340746134
713,4224,0.9211,0.92103,0.92115,0.92144,0.9206,4224,2024-04-09 15:00:00,0.92101,0.00015200703575425783,0.00015200703575425783
714,2854,0.921,0.92113,0.92127,0.92134,0.9206,2854,2024-04-09 16:00:00,0.92115,0.00013027194268035497,0.00013027194268035497
715,2845,0.9213,0.92126,0.92149,0.92156,0.921,2845,2024-04-09 17:00:00,0.92127,0.00023880078587167492,0.00023880078587167492
716,2364,0.9214,0.92151,0.92138,0.92163,0.921,2364,2024-04-09 18:00:00,0.92149,-0.00011937188683551042,0.00011937188683551042
717,2708,0.9213,0.92139,0.92106,0.92183,0.9208,2708,2024-04-09 19:00:00,0.92138,-0.00034730512926261364,0.00034730512926261364
718,1742,0.921,0.92107,0.9208,0.92116,0.9206,1742,2024-04-09 20:00:00,0.92106,-0.00028228345601810737,0.00028228345601810737
719,2085,0.9209,0.9208,0.92095,0.92111,0.9205,2085,2024-04-09 21:00:00,0.9208,0.00016290182450053704,0.00016290182450053704
720,806,0.9209,0.92095,0.92089,0.92101,0.9206,806,2024-04-09 22:00:00,0.92095,-6.515011672735762e-05,6.515011672735762e-05
721,936,0.9208,0.9209,0.92087,0.92097,0.9204,936,2024-04-09 23:00:00,0.92089,-2.1718120513872452e-05,2.1718120513872452e-05
722,1684,0.9211,0.9206,0.92101,0.9212,0.9206,1684,2024-04-10 00:00:00,0.92087,0.00015203014540600627,0.00015203014540600627
723,1994,0.9212,0.92098,0.921,0.92151,0.9206,1994,2024-04-10 01:00:00,0.92101,-1.0857645410966754e-05,1.0857645410966754e-05
724,2129,0.9213,0.92128,0.92134,0.92156,0.921,2129,2024-04-10 02:00:00,0.921,0.000369163952225849,0.000369163952225849
725,1509,0.9213,0.92134,0.92137,0.92146,0.9211,1509,2024-04-10 03:00:00,0.92134,3.256126945533081e-05,3.256126945533081e-05
726,1552,0.9214,0.92138,0.9213,0.92159,0.9211,1552,2024-04-10 04:00:00,0.92137,-7.597382159177583e-05,7.597382159177583e-05
727,1656,0.9213,0.92142,0.9214,0.92152,0.9209,1656,2024-04-10 05:00:00,0.9213,0.00010854227721696406,0.00010854227721696406
728,2688,0.9215,0.92147,0.92134,0.92181,0.921,2688,2024-04-10 06:00:00,0.9214,-6.511829824175057e-05,6.511829824175057e-05
729,3526,0.9213,0.92135,0.92117,0.92156,0.9209,3526,2024-04-10 07:00:00,0.92134,-0.00018451386024703525,0.00018451386024703525
730,2898,0.9211,0.92118,0.92075,0.9215,0.9206,2898,2024-04-10 08:00:00,0.92117,-0.0004559418999751261,0.0004559418999751261
731,2796,0.9207,0.92074,0.92063,0.92108,0.9201,2796,2024-04-10 09:00:00,0.92075,-0.00013032853651915178,0.00013032853651915178
732,1944,0.9205,0.92062,0.92043,0.92077,0.92,1944,2024-04-10 10:00:00,0.92063,-0.00021724254043424394,0.00021724254043424394
733,2098,0.9268,0.9204,0.92752,0.92772,0.9204,2098,2024-04-10 12:00:00,0.92043,0.007702921460621711,0.007702921460621711
734,8655,0.9288,0.92754,0.93009,0.93026,0.9274,8655,2024-04-10 13:00:00,0.92752,0.0027708297395203996,0.0027708297395203996
735,6708,0.9296,0.93007,0.92994,0.9306,0.9285,6708,2024-04-10 14:00:00,0.93009,-0.00016127471535010965,0.00016127471535010965
736,4660,0.9308,0.92994,0.93134,0.93167,0.9295,4660,2024-04-10 15:00:00,0.92994,0.001505473471406711,0.001505473471406711
737,3938,0.9316,0.93133,0.93138,0.93204,0.9311,3938,2024-04-10 16:00:00,0.93134,4.294886937105676e-05,4.294886937105676e-05
738,6154,0.9309,0.9314,0.93009,0.93203,0.9297,6154,2024-04-10 17:00:00,0.93138,-0.0013850415512465517,0.0013850415512465517
739,5219,0.9306,0.93009,0.9314,0.93152,0.9297,5219,2024-04-10 18:00:00,0.93009,0.0014084658473911486,0.0014084658473911486
740,3714,0.9309,0.93138,0.93073,0.93145,0.9304,3714,2024-04-10 19:00:00,0.9314,-0.0007193472192399178,0.0007193472192399178
741,1802,0.9308,0.93076,0.93085,0.93095,0.9303,1802,2024-04-10 20:00:00,0.93073,0.00012893105411881963,0.00012893105411881963
742,1371,0.9307,0.93085,0.9308,0.9315,0.9303,1371,2024-04-10 21:00:00,0.93085,-5.371434710210506e-05,5.371434710210506e-05
743,1075,0.9308,0.93075,0.93079,0.93105,0.9304,1075,2024-04-10 22:00:00,0.9308,-1.0743446497587549e-05,1.0743446497587549e-05
744,1592,0.9308,0.93078,0.93098,0.93113,0.9304,1592,2024-04-10 23:00:00,0.93079,0.00020412767648988868,0.00020412767648988868
745,2449,0.9308,0.9308,0.93085,0.93122,0.9303,2449,2024-04-11 00:00:00,0.93098,-0.00013963780102695494,0.00013963780102695494
746,2606,0.9307,0.93085,0.9305,0.93097,0.9302,2606,2024-04-11 01:00:00,0.93085,-0.0003760004297147354,0.0003760004297147354
747,1982,0.9306,0.93055,0.9305,0.9307,0.9302,1982,2024-04-11 02:00:00,0.9305,0.0,0.0
748,1666,0.9304,0.9306,0.93066,0.93067,0.9301,1666,2024-04-11 03:00:00,0.9305,0.00017195056421284146,0.00017195056421284146
749,1522,0.9306,0.93065,0.9305,0.93073,0.9302,1522,2024-04-11 04:00:00,0.93066,-0.00017192100229949605,0.00017192100229949605
750,2080,0.9306,0.93052,0.9308,0.93083,0.9302,2080,2024-04-11 05:00:00,0.9305,0.0003224073078989435,0.0003224073078989435
751,3287,0.9314,0.93084,0.93209,0.93223,0.9306,3287,2024-04-11 06:00:00,0.9308,0.0013859045981951155,0.0013859045981951155
752,4599,0.9311,0.93209,0.93082,0.93211,0.9305,4599,2024-04-11 07:00:00,0.93209,-0.0013625293694814807,0.0013625293694814807
753,4095,0.9306,0.9308,0.93102,0.93124,0.93,4095,2024-04-11 08:00:00,0.93082,0.00021486431318619925,0.00021486431318619925
754,3979,0.9315,0.93105,0.9315,0.93204,0.9308,3979,2024-04-11 09:00:00,0.93102,0.0005155635754334343,0.0005155635754334343
755,3552,0.932,0.93187,0.93196,0.93229,0.9314,3552,2024-04-11 10:00:00,0.9315,0.0004938271604938443,0.0004938271604938443
756,2074,0.9163,0.91678,0.91632,0.91678,0.9158,2074,2024-06-04 00:00:00,,,
757,1668,0.9165,0.91633,0.91675,0.91681,0.916,1668,2024-06-04 01:00:00,0.91632,0.0004692683778591872,0.0004692683778591872
758,1462,0.9168,0.91676,0.91676,0.91696,0.9165,1462,2024-06-04 02:00:00,0.91675,1.0908099263774761e-05,1.0908099263774761e-05
759,1290,0.9167,0.91677,0.9166,0.91682,0.9163,1290,2024-06-04 03:00:00,0.91676,-0.00017452768445399994,0.00017452768445399994
760,1478,0.9166,0.91678,0.9164,0.91684,0.9163,1478,2024-06-04 04:00:00,0.9166,-0.00021819768710449266,0.00021819768710449266
761,1670,0.9168,0.9165,0.91715,0.91719,0.9163,1670,2024-06-04 05:00:00,0.9164,0.0008184199039720957,0.0008184199039720957
762,3270,0.9173,0.91713,0.91765,0.9177,0.9168,3270,2024-06-04 06:00:00,0.91715,0.0005451670937141633,0.0005451670937141633
763,4240,0.9181,0.91766,0.91821,0.91869,0.9173,4240,2024-06-04 07:00:00,0.91765,0.0006102544543126518,0.0006102544543126518
764,4447,0.9189,0.91822,0.91902,0.91958,0.918,4447,2024-06-04 08:00:00,0.91821,0.0008821511418956202,0.0008821511418956202
765,4233,0.9194,0.91901,0.91979,0.92001,0.9187,4233,2024-06-04 09:00:00,0.91902,0.0008378490130792023,0.0008378490130792023
766,4044,0.9201,0.9198,0.92027,0.92051,0.9195,4044,2024-06-04 10:00:00,0.91979,0.0005218582502528142,0.0005218582502528142
767,3811,0.9203,0.92023,0.9205,0.92085,0.9197,3811,2024-06-04 11:00:00,0.92027,0.0002499266519607859,0.0002499266519607859
768,4053,0.9202,0.92064,0.92038,0.92064,0.9198,4053,2024-06-04 12:00:00,0.9205,-0.00013036393264531123,0.00013036393264531123
769,4121,0.9202,0.9201,0.92011,0.9206,0.9196,4121,2024-06-04 13:00:00,0.92038,-0.0002933570916360552,0.0002933570916360552
770,6149,0.9198,0.91994,0.91907,0.92052,0.9187,6149,2024-06-04 14:00:00,0.92011,-0.0011302996380866744,0.0011302996380866744
771,4200,0.9191,0.91909,0.91928,0.91953,0.9186,4200,2024-06-04 15:00:00,0.91907,0.0002284918450171722,0.0002284918450171722
772,3452,0.919,0.91925,0.91908,0.91931,0.9185,3452,2024-06-04 16:00:00,0.91928,-0.00021756156992426461,0.00021756156992426461
773,3220,0.9189,0.91909,0.91882,0.91926,0.9182,3220,2024-06-04 17:00:00,0.91908,-0.00028289158723945467,0.00028289158723945467
774,3024,0.9188,0.91885,0.9188,0.91906,0.9184,3024,2024-06-04 18:00:00,0.91882,-2.1767049041183258e-05,2.1767049041183258e-05
775,2751,0.919,0.91891,0.91901,0.91921,0.9186,2751,2024-06-04 19:00:00,0.9188,0.00022855898998698683,0.00022855898998698683
776,1420,0.9191,0.91902,0.91913,0.91924,0.9188,1420,2024-06-04 20:00:00,0.91901,0.0001305752929783234,0.0001305752929783234
777,761,0.919,0.91913,0.91911,0.91923,0.9187,761,2024-06-04 21:00:00,0.91913,-2.1759707549552296e-05,2.1759707549552296e-05
778,784,0.9191,0.91913,0.91911,0.91922,0.9186,784,2024-06-04 22:00:00,0.91911,0.0,0.0
779,940,0.919,0.9191,0.9188,0.91913,0.9187,940,2024-06-04 23:00:00,0.91911,-0.00033728280619298287,0.00033728280619298287
780,2023,0.9189,0.91894,0.91874,0.91922,0.9184,2023,2024-06-05 00:00:00,0.9188,-6.530256856764147e-05,6.530256856764147e-05
781,1751,0.9188,0.91873,0.91875,0.91904,0.9184,1751,2024-06-05 01:00:00,0.91874,1.0884472211892907e-05,1.0884472211892907e-05
782,1521,0.9187,0.91875,0.91881,0.91886,0.9184,1521,2024-06-05 02:00:00,0.91875,6.530612244904491e-05,6.530612244904491e-05
783,1812,0.9191,0.9188,0.91922,0.91938,0.9186,1812,2024-06-05 03:00:00,0.91881,0.00044622936189203584,0.00044622936189203584
784,1712,0.9191,0.91924,0.91903,0.91933,0.9188,1712,2024-06-05 04:00:00,0.91922,-0.00020669698222408508,0.00020669698222408508
785,2013,0.9191,0.91903,0.91916,0.91942,0.9187,2013,2024-06-05 05:00:00,0.91903,0.00014145348900467176,0.00014145348900467176
786,2678,0.9194,0.91918,0.91943,0.91975,0.9189,2678,2024-06-05 06:00:00,0.91916,0.00029374646416292316,0.00029374646416292316
787,3655,0.9194,0.91945,0.91979,0.91988,0.9189,3655,2024-06-05 07:00:00,0.91943,0.00039154693668906496,0.00039154693668906496
788,2729,0.9196,0.91975,0.91945,0.91995,0.9191,2729,2024-06-05 08:00:00,0.91979,-0.0003696495939290566,0.0003696495939290566
789,2893,0.9195,0.91949,0.91962,0.91984,0.9191,2893,2024-06-05 09:00:00,0.91945,0.0001848931426396253,0.0001848931426396253
790,2724,0.9201,0.91965,0.92006,0.92038,0.9195,2724,2024-06-05 10:00:00,0.91962,0.0004784584937256649,0.0004784584937256649
791,3013,0.9204,0.92008,0.92,0.92078,0.9198,3013,2024-06-05 11:00:00,0.92006,-6.52131382735354e-05,6.52131382735354e-05
792,4361,0.9194,0.92011,0.91878,0.92011,0.9185,4361,2024-06-05 12:00:00,0.92,-0.0013260869565217379,0.0013260869565217379
